function,slot,fixed,sentinel,symbolic
tp_base_client_set_delegated_channels_callback,3,,,
tp_base_client_set_handler_bypass_approval,0,,,
tp_base_client_set_handler_bypass_approval,1,,,
tp_base_client_set_handler_request_notification,0,,,
tp_base_client_set_observer_delay_approvers,0,,,
tp_base_client_set_observer_delay_approvers,1,,,
tp_base_client_set_observer_recover,0,,,
tp_base_client_set_observer_recover,1,,,
tp_base_client_take_approver_filter,0,,,
tp_base_client_take_approver_filter,1,,,
tp_base_client_take_handler_filter,0,,,
tp_base_client_take_handler_filter,1,,,
tp_base_client_take_observer_filter,0,,,
tp_base_client_take_observer_filter,1,,,
tp_base_client_unregister,0,,,
tp_base_connection_add_client_interest,0,,,
tp_base_connection_add_client_interest,1,,NUL,
tp_base_connection_add_client_interest,2,,NUL,
tp_base_connection_add_client_interest,3,,,
tp_base_connection_add_interfaces,0,,,
tp_base_connection_add_interfaces,1,,NUL,
tp_base_connection_add_possible_client_interest,0,,,
tp_base_connection_add_possible_client_interest,1,,,
tp_base_connection_change_status,0,,,
tp_base_connection_change_status,1,,,
tp_base_connection_change_status,2,,,
tp_base_connection_channel_manager_iter_init,0,,,
tp_base_connection_channel_manager_iter_init,1,,,
tp_base_connection_channel_manager_iter_next,0,,,
tp_base_connection_channel_manager_iter_next,1,,,
tp_base_connection_check_connected,0,,,
tp_base_connection_dbus_request_handles,0,,,
tp_base_connection_dbus_request_handles,1,,,
tp_base_connection_dbus_request_handles,2,,NUL,
tp_base_connection_dbus_request_handles,3,,,
tp_base_connection_disconnect_with_dbus_error,0,,,
tp_base_connection_disconnect_with_dbus_error,1,,NUL,
tp_base_connection_disconnect_with_dbus_error,2,,,
tp_base_connection_disconnect_with_dbus_error,3,,,
tp_base_connection_disconnect_with_dbus_error_vardict,0,,,
tp_base_connection_disconnect_with_dbus_error_vardict,1,,NUL,
tp_base_connection_disconnect_with_dbus_error_vardict,2,,,
tp_base_connection_disconnect_with_dbus_error_vardict,3,,,
tp_base_connection_finish_shutdown,0,,,
tp_base_connection_get_account_path_suffix,0,,,
tp_base_connection_get_bus_name,0,,,
tp_base_connection_get_dbus_daemon,0,,,
tp_base_connection_get_handles,0,,,
tp_base_connection_get_handles,1,,,
tp_base_connection_get_object_path,0,,,
tp_base_connection_get_self_handle,0,,,
tp_base_connection_get_status,0,,,
tp_base_connection_is_destroyed,0,,,
tp_base_connection_register,0,,,
tp_base_connection_register,1,,NUL,
tp_base_connection_register,2,,,
tp_base_connection_register,3,,,
tp_base_connection_register_with_contacts_mixin,0,,,
tp_base_connection_set_self_handle,0,,,
tp_base_connection_set_self_handle,1,,,
tp_call_channel_accept_async,0,,,
tp_call_channel_accept_async,1,,,
tp_call_channel_accept_async,2,,,
tp_call_channel_accept_finish,0,,,
tp_call_channel_accept_finish,1,,,
tp_call_channel_add_content_async,0,,,
tp_call_channel_add_content_async,1,,NUL,
tp_call_channel_add_content_async,2,,,
tp_call_channel_add_content_async,3,,,
tp_call_channel_add_content_async,4,,,
tp_call_channel_add_content_async,5,,,
tp_call_channel_add_content_finish,0,,,
tp_call_channel_add_content_finish,1,,,
tp_call_channel_get_contents,0,,,
tp_call_channel_get_members,0,,,
tp_call_channel_get_state,0,,,
tp_call_channel_get_state,1,,,
tp_call_channel_get_state,2,,,
tp_call_channel_get_state,3,,,
tp_call_channel_hangup_async,0,,,
tp_call_channel_hangup_async,1,,,
tp_call_channel_hangup_async,2,,NUL,
tp_call_channel_hangup_async,3,,NUL,
tp_call_channel_hangup_async,4,,,
tp_call_channel_hangup_async,5,,,
tp_call_channel_hangup_finish,0,,,
tp_call_channel_hangup_finish,1,,,
tp_call_channel_has_dtmf,0,,,
tp_call_channel_has_hardware_streaming,0,,,
tp_call_channel_has_hold,0,,,
tp_call_channel_has_initial_audio,0,,,
tp_call_channel_has_initial_audio,1,,,
tp_call_channel_has_initial_video,0,,,
tp_call_channel_has_initial_video,1,,,
tp_call_channel_has_mutable_contents,0,,,
tp_call_channel_request_hold_async,0,,,
tp_call_channel_request_hold_async,1,,,
tp_call_channel_request_hold_async,2,,,
tp_call_channel_request_hold_async,3,,,
tp_call_channel_request_hold_finish,0,,,
tp_call_channel_request_hold_finish,1,,,
tp_call_channel_send_tones_async,0,,,
tp_call_channel_send_tones_async,1,,NUL,
tp_call_channel_send_tones_async,2,,,
tp_call_channel_send_tones_async,3,,,
tp_call_channel_send_tones_async,4,,,
tp_call_channel_send_tones_finish,0,,,
tp_call_channel_send_tones_finish,1,,,
tp_call_channel_set_queued_async,0,,,
tp_call_channel_set_queued_async,1,,,
tp_call_channel_set_queued_async,2,,,
tp_call_channel_set_queued_finish,0,,,
tp_call_channel_set_queued_finish,1,,,
tp_call_channel_set_ringing_async,0,,,
tp_call_channel_set_ringing_async,1,,,
tp_call_channel_set_ringing_async,2,,,
tp_call_channel_set_ringing_finish,0,,,
tp_call_channel_set_ringing_finish,1,,,
tp_call_content_get_disposition,0,,,
tp_call_content_get_media_type,0,,,
tp_call_content_get_name,0,,,
tp_call_content_get_streams,0,,,
tp_call_content_remove_async,0,,,
tp_call_content_remove_async,1,,,
tp_call_content_remove_async,2,,,
tp_call_content_remove_finish,0,,,
tp_call_content_remove_finish,1,,,
tp_call_content_send_tones_async,0,,,
tp_call_content_send_tones_async,1,,NUL,
tp_call_content_send_tones_async,2,,,
tp_call_content_send_tones_async,3,,,
tp_call_content_send_tones_async,4,,,
tp_call_content_send_tones_finish,0,,,
tp_call_content_send_tones_finish,1,,,
tp_call_stream_can_request_receiving,0,,,
tp_call_stream_get_local_sending_state,0,,,
tp_call_stream_get_remote_members,0,,,
tp_call_stream_request_receiving_async,0,,,
tp_call_stream_request_receiving_async,1,,,
tp_call_stream_request_receiving_async,2,,,
tp_call_stream_request_receiving_async,3,,,
tp_call_stream_request_receiving_async,4,,,
tp_call_stream_request_receiving_finish,0,,,
tp_call_stream_request_receiving_finish,1,,,
tp_call_stream_set_sending_async,0,,,
tp_call_stream_set_sending_async,1,,,
tp_call_stream_set_sending_async,2,,,
tp_call_stream_set_sending_async,3,,,
tp_call_stream_set_sending_finish,0,,,
tp_call_stream_set_sending_finish,1,,,
tp_capabilities_dup_channel_classes_variant,0,,,
tp_capabilities_get_channel_classes,0,,,
tp_capabilities_is_specific_to_contact,0,,,
tp_capabilities_supports_audio_call,0,,,
tp_capabilities_supports_audio_call,1,,,
tp_capabilities_supports_audio_video_call,0,,,
tp_capabilities_supports_audio_video_call,1,,,
tp_capabilities_supports_contact_search,0,,,
tp_capabilities_supports_contact_search,1,,,
tp_capabilities_supports_contact_search,2,,,
tp_capabilities_supports_dbus_tubes,0,,,
tp_capabilities_supports_dbus_tubes,1,,,
tp_capabilities_supports_dbus_tubes,2,,NUL,
tp_capabilities_supports_file_transfer,0,,,
tp_capabilities_supports_file_transfer_description,0,,,
tp_capabilities_supports_file_transfer_initial_offset,0,,,
tp_capabilities_supports_file_transfer_timestamp,0,,,
tp_capabilities_supports_file_transfer_uri,0,,,
tp_capabilities_supports_room_list,0,,,
tp_capabilities_supports_room_list,1,,,
tp_capabilities_supports_sms,0,,,
tp_capabilities_supports_stream_tubes,0,,,
tp_capabilities_supports_stream_tubes,1,,,
tp_capabilities_supports_stream_tubes,2,,NUL,
tp_capabilities_supports_text_chatrooms,0,,,
tp_capabilities_supports_text_chats,0,,,
tp_channel_borrow_connection,0,,,
tp_channel_borrow_immutable_properties,0,,,
tp_channel_call_when_ready,0,,,
tp_channel_call_when_ready,1,,,
