function,slot,fixed,sentinel,symbolic
gtk_assistant_next_page,0,,,
gtk_assistant_prepend_page,0,,,
gtk_assistant_prepend_page,1,,,
gtk_assistant_previous_page,0,,,
gtk_assistant_remove_action_widget,0,,,
gtk_assistant_remove_action_widget,1,,,
gtk_assistant_remove_page,0,,,
gtk_assistant_remove_page,1,,,
gtk_assistant_set_current_page,0,,,
gtk_assistant_set_current_page,1,,,
gtk_assistant_set_forward_page_func,0,,,
gtk_assistant_set_forward_page_func,1,,,
gtk_assistant_set_forward_page_func,2,,,
gtk_assistant_set_forward_page_func,3,,,
gtk_assistant_set_page_complete,0,,,
gtk_assistant_set_page_complete,1,,,
gtk_assistant_set_page_complete,2,,,
gtk_assistant_set_page_header_image,0,,,
gtk_assistant_set_page_header_image,1,,,
gtk_assistant_set_page_header_image,2,,,
gtk_assistant_set_page_side_image,0,,,
gtk_assistant_set_page_side_image,1,,,
gtk_assistant_set_page_side_image,2,,,
gtk_assistant_set_page_title,0,,,
gtk_assistant_set_page_title,1,,,
gtk_assistant_set_page_title,2,,NUL,
gtk_assistant_set_page_type,0,,,
gtk_assistant_set_page_type,1,,,
gtk_assistant_set_page_type,2,,,
gtk_assistant_update_buttons_state,0,,,
gtk_bin_get_child,0,,,
gtk_binding_entry_add_signal,0,,,
gtk_binding_entry_add_signal,1,,,
gtk_binding_entry_add_signal,2,,,
gtk_binding_entry_add_signal,3,,NUL,
gtk_binding_entry_add_signal,4,,,
gtk_binding_entry_add_signal,5,,,
gtk_binding_entry_add_signal_from_string,0,,,
gtk_binding_entry_add_signal_from_string,1,,NUL,
gtk_binding_entry_add_signall,0,,,
gtk_binding_entry_add_signall,1,,,
gtk_binding_entry_add_signall,2,,,
gtk_binding_entry_add_signall,3,,NUL,
gtk_binding_entry_add_signall,4,,,
gtk_binding_entry_remove,0,,,
gtk_binding_entry_remove,1,,,
gtk_binding_entry_remove,2,,,
gtk_binding_entry_skip,0,,,
gtk_binding_entry_skip,1,,,
gtk_binding_entry_skip,2,,,
gtk_binding_set_activate,0,,,
gtk_binding_set_activate,1,,,
gtk_binding_set_activate,2,,,
gtk_binding_set_activate,3,,,
gtk_binding_set_add_path,0,,,
gtk_binding_set_add_path,1,,,
gtk_binding_set_add_path,2,,NUL,
gtk_binding_set_add_path,3,,,
gtk_binding_set_by_class,0,,,
gtk_binding_set_find,0,,NUL,
gtk_binding_set_new,0,,NUL,
gtk_bindings_activate,0,,,
gtk_bindings_activate,1,,,
gtk_bindings_activate,2,,,
gtk_bindings_activate_event,0,,,
gtk_bindings_activate_event,1,,,
gtk_border_copy,0,,,
gtk_border_free,0,,,
gtk_box_get_baseline_position,0,,,
gtk_box_get_center_widget,0,,,
gtk_box_get_homogeneous,0,,,
gtk_box_get_spacing,0,,,
gtk_box_pack_end,0,,,
gtk_box_pack_end,1,,,
gtk_box_pack_end,2,,,
gtk_box_pack_end,3,,,
gtk_box_pack_end,4,,,
gtk_box_pack_start,0,,,
gtk_box_pack_start,1,,,
gtk_box_pack_start,2,,,
gtk_box_pack_start,3,,,
gtk_box_pack_start,4,,,
gtk_box_query_child_packing,0,,,
gtk_box_query_child_packing,1,,,
gtk_box_query_child_packing,2,,,
gtk_box_query_child_packing,3,,,
gtk_box_query_child_packing,4,,,
gtk_box_query_child_packing,5,,,
gtk_box_reorder_child,0,,,
gtk_box_reorder_child,1,,,
gtk_box_reorder_child,2,,,
gtk_box_set_baseline_position,0,,,
gtk_box_set_baseline_position,1,,,
gtk_box_set_center_widget,0,,,
gtk_box_set_center_widget,1,,,
gtk_box_set_child_packing,0,,,
gtk_box_set_child_packing,1,,,
gtk_box_set_child_packing,2,,,
gtk_box_set_child_packing,3,,,
gtk_box_set_child_packing,4,,,
gtk_box_set_child_packing,5,,,
gtk_box_set_homogeneous,0,,,
gtk_box_set_homogeneous,1,,,
gtk_box_set_spacing,0,,,
gtk_box_set_spacing,1,,,
gtk_buildable_add_child,0,,,
gtk_buildable_add_child,1,,,
gtk_buildable_add_child,2,,,
gtk_buildable_add_child,3,,NUL,
gtk_buildable_construct_child,0,,,
gtk_buildable_construct_child,1,,,
gtk_buildable_construct_child,2,,NUL,
gtk_buildable_custom_finished,0,,,
gtk_buildable_custom_finished,1,,,
gtk_buildable_custom_finished,2,,,
gtk_buildable_custom_finished,3,,NUL,
gtk_buildable_custom_finished,4,,,
gtk_buildable_custom_tag_end,0,,,
gtk_buildable_custom_tag_end,1,,,
gtk_buildable_custom_tag_end,2,,,
gtk_buildable_custom_tag_end,3,,NUL,
gtk_buildable_custom_tag_end,4,,,
gtk_buildable_custom_tag_start,0,,,
gtk_buildable_custom_tag_start,1,,,
gtk_buildable_custom_tag_start,2,,,
gtk_buildable_custom_tag_start,3,,NUL,
gtk_buildable_custom_tag_start,4,,,
gtk_buildable_custom_tag_start,5,,,
gtk_buildable_get_internal_child,0,,,
gtk_buildable_get_internal_child,1,,,
gtk_buildable_get_internal_child,2,,NUL,
gtk_buildable_get_name,0,,,
gtk_buildable_parser_finished,0,,,
gtk_buildable_parser_finished,1,,,
gtk_buildable_set_buildable_property,0,,,
gtk_buildable_set_buildable_property,1,,,
gtk_buildable_set_buildable_property,2,,NUL,
gtk_buildable_set_buildable_property,3,,,
gtk_buildable_set_name,0,,,
gtk_buildable_set_name,1,,NUL,
gtk_builder_add_callback_symbol,0,,,
gtk_builder_add_callback_symbol,1,,NUL,
gtk_builder_add_callback_symbol,2,,,
gtk_builder_add_callback_symbols,0,,,
gtk_builder_add_callback_symbols,1,,NUL,
gtk_builder_add_callback_symbols,2,,,
gtk_builder_add_callback_symbols,3,,,
gtk_builder_add_from_file,0,,,
gtk_builder_add_from_file,1,,NUL,
gtk_builder_add_from_resource,0,,,
gtk_builder_add_from_resource,1,,NUL,
gtk_builder_add_from_string,0,,,
gtk_builder_add_from_string,1,,NUL,
gtk_builder_add_from_string,2,,,
gtk_builder_add_objects_from_file,0,,,
gtk_builder_add_objects_from_file,1,,NUL,
gtk_builder_add_objects_from_file,2,,NUL,
gtk_builder_add_objects_from_resource,0,,,
gtk_builder_add_objects_from_resource,1,,NUL,
gtk_builder_add_objects_from_resource,2,,NUL,
gtk_builder_add_objects_from_string,0,,,
gtk_builder_add_objects_from_string,1,,NUL,
gtk_builder_add_objects_from_string,2,,NUL,
gtk_builder_add_objects_from_string,3,,,
gtk_builder_connect_signals,0,,,
gtk_builder_connect_signals,1,,,
gtk_builder_connect_signals_full,0,,,
gtk_builder_connect_signals_full,1,,,
gtk_builder_connect_signals_full,2,,,
gtk_builder_expose_object,0,,,
gtk_builder_expose_object,1,,NUL,
gtk_builder_expose_object,2,,,
gtk_builder_get_application,0,,,
gtk_builder_get_object,0,,,
gtk_builder_get_object,1,,NUL,
gtk_builder_get_objects,0,,,
gtk_builder_get_translation_domain,0,,,
gtk_builder_get_type_from_name,0,,,
gtk_builder_get_type_from_name,1,,NUL,
gtk_builder_lookup_callback_symbol,0,,,
gtk_builder_lookup_callback_symbol,1,,NUL,
gtk_builder_set_application,0,,,
gtk_builder_set_application,1,,,
gtk_builder_set_translation_domain,0,,,
gtk_builder_set_translation_domain,1,,NUL,
gtk_builder_value_from_string,0,,,
gtk_builder_value_from_string,1,,,
gtk_builder_value_from_string,2,,NUL,
gtk_builder_value_from_string,3,,,
gtk_builder_value_from_string_type,0,,,
gtk_builder_value_from_string_type,1,,,
gtk_builder_value_from_string_type,2,,,
gtk_builder_value_from_string_type,3,,,
gtk_button_box_get_child_non_homogeneous,0,,,
gtk_button_box_get_child_non_homogeneous,1,,,
gtk_button_box_get_child_secondary,0,,,
gtk_button_box_get_child_secondary,1,,,
gtk_button_box_get_layout,0,,,
gtk_button_box_set_child_non_homogeneous,0,,,
gtk_button_box_set_child_non_homogeneous,1,,,
gtk_button_box_set_child_non_homogeneous,2,,,
gtk_button_box_set_child_secondary,0,,,
gtk_button_box_set_child_secondary,1,,,
gtk_button_box_set_child_secondary,2,,,
gtk_button_box_set_layout,0,,,
gtk_button_box_set_layout,1,,,
gtk_button_clicked,0,,,
gtk_button_enter,0,,,
gtk_button_get_alignment,0,,,
gtk_button_get_alignment,1,,,
gtk_button_get_alignment,2,,,
gtk_button_get_always_show_image,0,,,
gtk_button_get_event_window,0,,,
gtk_button_get_focus_on_click,0,,,
gtk_button_get_image,0,,,
gtk_button_get_image_position,0,,,
gtk_button_get_label,0,,,
gtk_button_get_relief,0,,,
gtk_button_get_use_stock,0,,,
gtk_button_get_use_underline,0,,,
gtk_button_leave,0,,,
gtk_button_pressed,0,,,
gtk_button_released,0,,,
gtk_button_set_alignment,0,,,
gtk_button_set_alignment,1,,,
gtk_button_set_alignment,2,,,
gtk_button_set_always_show_image,0,,,
gtk_button_set_always_show_image,1,,,
gtk_button_set_focus_on_click,0,,,
gtk_button_set_focus_on_click,1,,,
gtk_button_set_image,0,,,
gtk_button_set_image,1,,,
gtk_button_set_image_position,0,,,
gtk_button_set_image_position,1,,,
gtk_button_set_label,0,,,
gtk_button_set_label,1,,NUL,
gtk_button_set_relief,0,,,
gtk_button_set_relief,1,,,
gtk_button_set_use_stock,0,,,
gtk_button_set_use_stock,1,,,
gtk_button_set_use_underline,0,,,
gtk_button_set_use_underline,1,,,
gtk_cairo_should_draw_window,0,,,
gtk_cairo_should_draw_window,1,,,
gtk_cairo_transform_to_window,0,,,
gtk_cairo_transform_to_window,1,,,
gtk_cairo_transform_to_window,2,,,
gtk_calendar_clear_marks,0,,,
gtk_calendar_get_date,0,,,
gtk_calendar_get_date,1,,,
gtk_calendar_get_date,2,,,
gtk_calendar_get_date,3,,,
gtk_calendar_get_day_is_marked,0,,,
gtk_calendar_get_day_is_marked,1,,,
gtk_calendar_get_detail_height_rows,0,,,
gtk_calendar_get_detail_width_chars,0,,,
